code,title_y,address,price,rating_x,like-dislike,rating_y,commentCount_y,distance,score5-1,commentCount_x,lat,lon,textCommentCount,count
091zdn,کباب مزه ناب (شبانه),بین پیروزی 16 و میدان سلمان، کباب مزه ناب (شبانه),0.8176882114903321,0.6868678688406581,0.011204481792717085,0.9064993156858219,0.0014989084036625502,0.9302309581158514,0.6923076923076923,173.0,36.296558,59.52810000000001,16.0,0.10119047619047619
0945nd,فست فود آیدا,وکیل آباد 64، اقبال لاهوری 5، بنفشه 9، فست فود آیدا,0.8713284231076405,0.6720942047351788,0.015206082432973188,0.784044184784607,0.042979569226758774,0.8869928430051864,0.5128205128205128,2719.0,36.334667696549,59.466733565738,482.0,0.20833333333333334
094nn6,فست فود پاییز,بلوار سازمان آب، نبش شهید صادقی 27، فست فود پاییز,0.7495258613864635,0.8336426030610173,0.032602514690086556,0.8989182572576812,0.16072534132751148,0.9549901446825041,0.7094017094017094,9946.0,36.318790539351,59.576282501221,1768.0,0.3333333333333333
094onk,غذای خانگی آویشن,خیام، دسغیب 28، فرهاد 27، کوچه اول سمت راست، غذای خانگی آویشن,0.7755465566014255,0.7992267834064916,0.05051620648259303,0.8749408205720602,0.1812375769819805,0.9489466898767647,0.6923076923076923,11199.0,36.31177622046,59.562343060969994,1981.0,0.2916666666666667
095djn,فست فود پاراج,پیروزی 72، عماد خراسانی 7، فست فود پاراج,0.7376788037114553,0.9349480451521265,0.009603841536614645,0.9244754330715153,0.0020528528137117533,0.8949616230258285,0.7948717948717948,207.0,36.324746,59.476994000000005,56.0,0.023809523809523808
095ln6,فست فود روژان,بین مطهری، کوچه ۵۱، چهار راه هدایت، پلاک ۹۶۷، فست فود روژان,0.8835487682508107,0.7168803414938496,0.035506510296426264,0.8790244054545537,0.08476978722017661,0.9722722367121237,0.7008547008547008,5284.0,36.3209509,59.615061299999994,402.0,0.6130952380952381
095r8n,فست فود کاریزما,بلوار پیروزی، بین پیروزی 70 و 72، پلاک 74، فست فود کاریزما,0.7804520928339996,0.38164892092948255,0.019807923169267706,0.8226971156852075,0.033334419498843235,0.8966353178536393,0.5897435897435898,2127.0,36.325973,59.480067,373.0,0.27976190476190477
095vod,فست فود فرکانس,شریعتی ۷۵، ابرار ۸، جنب نانوایی، فست فود فرکانس,0.8487357686672016,0.6129763986629558,0.02788807830824637,0.9783608833038113,0.017335201538010363,0.8898079246346847,0.9230769230769231,1145.0,36.349617,59.476845,157.0,0.30357142857142855
096mdy,کافه رستوران راموز (سجاد),مشهد، نبش سجاد9، کافه رستوران راموز (سجاد),0.794980401663099,0.4974489795918367,0.020408163265306117,0.9057836144442448,0.11261364006647333,0.941917394866527,0.7777777777777778,6993.0,36.318216,59.552966,639.0,0.041666666666666664
0971vq,اغذیه مطهر,بلوار توس، توس 79، اغذیه مطهر,0.8918728159123299,0.8099625984625757,0.05054653440323497,0.9484327472002254,0.02966861090292939,0.9054083762202396,0.8205128205128205,1902.0,36.384427,59.527836,133.0,0.10714285714285714
097556,ته چین طوری (شعبه هاشمیه),بلوار هاشمیه، نبش هاشمیه 6، برج آبان، فودکورت آبان، طبقه 1+، ته چین طوری (شعبه هاشمیه),0.6561774260923016,0.9066170879989821,0.19159663865546217,0.9484305289428495,0.28920785949362965,0.9177542855878345,0.8461538461538461,17832.0,36.320104505787,59.513111114502,2406.0,0.17261904761904762
0976eq,غذای ایتالیایی پای,بلوار وکیل آباد، بین وکیل آباد 55 و 57، پلاک 1153، طبقه همکف، غذای ایتالیایی پای,0.5912034481191322,0.761017247952602,0.04785362420830401,0.8854396873302416,0.11789240444458926,0.8965889145008065,0.7008547008547008,7317.0,36.333743,59.482352,1198.0,0.16666666666666666
0977dd,ویل برگر,سجاد شهر، خیام 10، ویل برگر,0.7286619720064129,0.7023517746412345,0.01830166028675621,0.8725826661191394,0.07667242334386914,0.9446351898461531,0.6923076923076923,4787.0,36.311459,59.554964,462.0,0.30952380952380953
097ory,ساندویچ عمار,خیابان مهدی، بین مهدی 2و4، بعداز بانک صادرات، ساندویچ عمار,0.9159360126745291,0.7466254875363013,0.010564225690276109,0.8348046077941023,0.020104923588256378,0.9697029327558208,0.5982905982905983,1315.0,36.245792,59.603941,179.0,0.08333333333333333
0996vk,فست فود بهروز,قاسم آباد، نبش شریعتی 55، جنب هایپر خورشید، فست فود بهروز,0.8272395477707009,0.9104387339801486,0.05257696298858526,0.9629350549854322,0.1996806673400893,0.8942250711677273,0.8632478632478633,12337.0,36.352209835195,59.485591650009,1363.0,0.34523809523809523
099mjk,کترینگ عالیجناب,بلوار سپاه، بین سپاه 28 و 30، کترینگ عالیجناب,0.9211552274238816,0.8244226386985014,0.015777739667295485,0.8906201863149944,0.010427188895043826,0.9628711132738723,0.7606837606837606,721.0,36.227905,59.609486,143.0,0.03571428571428571
099x1d,کترینگ پایدار,بلوار جانباز، بین جانباز 7 و 9، کترینگ میلانی,0.6437649820879012,0.8717352661778377,0.013532685801593362,0.9366205231474897,0.037798559744533874,0.9416033758156575,0.8034188034188035,2401.0,36.332721,59.560003,361.0,0.125
099z9d,پیتزا دهکده,بلوار شاهد، خیابان شاهد 35 (شریعتی 39/8)، پلاک 197، طبقه همکف، پیتزا دهکده,0.6716262792634622,0.5254082302603552,0.08326967150496561,0.9192267084067571,0.25921339893773016,0.9031083521929008,0.7606837606837606,15991.0,36.353975,59.502082,2118.0,0.25595238095238093
